Date,Colombia,Germany,India,Italy,Mexico,Nepal,Nigeria,Sweden,South Korea
1/22/2020,0,0,0,0,0,0,0,0,1
1/23/2020,0,0,0,0,0,0,0,0,1
1/24/2020,0,0,0,0,0,0,0,0,2
1/25/2020,0,0,0,0,0,1,0,0,2
1/26/2020,0,0,0,0,0,1,0,0,3
1/27/2020,0,1,0,0,0,1,0,0,4
1/28/2020,0,4,0,0,0,1,0,0,4
1/29/2020,0,4,0,0,0,1,0,0,4
1/30/2020,0,4,1,0,0,1,0,0,4
1/31/2020,0,5,1,2,0,1,0,1,11
2/1/2020,0,8,1,2,0,1,0,1,12
2/2/2020,0,10,2,2,0,1,0,1,15
2/3/2020,0,12,3,2,0,1,0,1,15
2/4/2020,0,12,3,2,0,1,0,1,16
2/5/2020,0,12,3,2,0,1,0,1,19
2/6/2020,0,12,3,2,0,1,0,1,23
2/7/2020,0,13,3,3,0,1,0,1,24
2/8/2020,0,13,3,3,0,1,0,1,24
2/9/2020,0,14,3,3,0,1,0,1,25
2/10/2020,0,14,3,3,0,1,0,1,27
2/11/2020,0,16,3,3,0,1,0,1,28
2/12/2020,0,16,3,3,0,1,0,1,28
2/13/2020,0,16,3,3,0,1,0,1,28
2/14/2020,0,16,3,3,0,1,0,1,28
2/15/2020,0,16,3,3,0,1,0,1,28
2/16/2020,0,16,3,3,0,1,0,1,29
2/17/2020,0,16,3,3,0,1,0,1,30
2/18/2020,0,16,3,3,0,1,0,1,31
2/19/2020,0,16,3,3,0,1,0,1,31
2/20/2020,0,16,3,3,0,1,0,1,104
2/21/2020,0,16,3,20,0,1,0,1,204
2/22/2020,0,16,3,62,0,1,0,1,433
2/23/2020,0,16,3,155,0,1,0,1,602
2/24/2020,0,16,3,229,0,1,0,1,833
2/25/2020,0,17,3,322,0,1,0,1,977
2/26/2020,0,27,3,453,0,1,0,2,1261
2/27/2020,0,46,3,655,0,1,0,7,1766
2/28/2020,0,48,3,888,1,1,1,7,2337
2/29/2020,0,79,3,1128,4,1,1,12,3150
3/1/2020,0,130,3,1694,5,1,1,14,3736
3/2/2020,0,159,5,2036,5,1,1,15,4335
3/3/2020,0,196,5,2502,5,1,1,21,5186
3/4/2020,0,262,28,3089,5,1,1,35,5621
3/5/2020,0,482,30,3858,5,1,1,94,6088
3/6/2020,1,670,31,4636,6,1,1,101,6593
3/7/2020,1,799,34,5883,6,1,1,161,7041
3/8/2020,1,1040,39,7375,7,1,1,203,7314
3/9/2020,1,1176,43,9172,7,1,2,248,7478
3/10/2020,3,1457,56,10149,7,1,2,355,7513
3/11/2020,9,1908,62,12462,8,1,2,500,7755
3/12/2020,9,2078,73,15113,12,1,2,599,7869
3/13/2020,13,3675,82,17660,26,1,2,814,7979
3/14/2020,22,4585,102,21157,41,1,2,961,8086
3/15/2020,34,5795,113,24747,53,1,2,1022,8162
3/16/2020,54,7272,119,27980,82,1,2,1103,8236
3/17/2020,65,9257,142,31506,93,1,3,1190,8320
3/18/2020,93,12327,156,35713,118,1,8,1279,8413
3/19/2020,102,15320,194,41035,164,1,8,1439,8565
3/20/2020,128,19848,244,47021,203,1,12,1639,8652
3/21/2020,196,22213,330,53578,251,1,22,1763,8799
3/22/2020,231,24873,396,59138,316,1,30,1934,8961
3/23/2020,277,29056,499,63927,367,2,40,2046,8961
3/24/2020,378,32986,536,69176,405,2,44,2286,9037
3/25/2020,470,37323,657,74386,475,3,51,2526,9137
3/26/2020,491,43938,727,80589,585,3,65,2840,9241
3/27/2020,539,50871,887,86498,717,4,70,3069,9332
3/28/2020,608,57695,987,92472,848,5,89,3447,9478
3/29/2020,702,62095,1024,97689,993,5,111,3700,9583
3/30/2020,798,66885,1251,101739,1094,5,131,4028,9661
3/31/2020,906,71808,1397,105792,1215,5,135,4435,9786
4/1/2020,1065,77872,1998,110574,1378,5,174,4947,9887
4/2/2020,1161,84794,2543,115242,1510,6,184,5568,9976
4/3/2020,1267,91159,2567,119827,1688,6,210,6131,10062
4/4/2020,1406,96092,3082,124632,1890,9,214,6443,10156
4/5/2020,1485,100123,3588,128948,2143,9,232,6830,10237
4/6/2020,1579,103374,4778,132547,2439,9,238,7206,10284
4/7/2020,1780,107663,5311,135586,2785,9,254,7693,10331
4/8/2020,2054,113296,5916,139422,3181,9,276,8419,10384
4/9/2020,2223,118181,6725,143626,3441,9,288,9141,10423
4/10/2020,2473,122171,7598,147577,3844,9,305,9685,10450
4/11/2020,2709,124908,8446,152271,4219,9,318,10151,10480
4/12/2020,2776,127854,9205,156363,4661,12,323,10483,10512
4/13/2020,2852,130072,10453,159516,5014,14,343,10948,10537
4/14/2020,2979,131359,11487,162488,5399,16,373,11445,10564
4/15/2020,3105,134753,12322,165155,5847,16,407,11927,10591
4/16/2020,3233,137698,13430,168941,6297,16,442,12540,10613
4/17/2020,3439,141397,14352,172434,6875,30,493,13216,10635
4/18/2020,3439,143342,15722,175925,7497,31,542,13822,10653
4/19/2020,3792,145184,17615,178972,8261,31,627,14385,10661
4/20/2020,3977,147065,18539,181228,8772,31,665,14777,10674
4/21/2020,4149,148291,20080,183957,9501,43,665,15322,10683
4/22/2020,4356,150648,21370,187327,10544,45,873,16004,10694
4/23/2020,4561,153129,23077,189973,11633,48,981,16755,10708
4/24/2020,4881,154999,24530,192994,12872,49,1095,17567,10718
4/25/2020,5142,156513,26283,195351,13842,49,1182,18177,10728
4/26/2020,5379,157770,27890,197675,14677,52,1273,18640,10738
4/27/2020,5597,158758,29451,199414,15529,52,1337,18926,10752
4/28/2020,5949,159912,31324,201505,16752,54,1532,19621,10761
4/29/2020,6207,161539,33062,203591,17799,57,1728,20302,10765
4/30/2020,6507,163009,34863,205463,19224,57,1932,21092,10774
5/1/2020,7006,164077,37257,207428,20739,59,2170,21520,10780
5/2/2020,7285,164967,39699,209328,22088,59,2388,22082,10793
5/3/2020,7668,165664,42505,210717,23471,75,2558,22317,10801
5/4/2020,7973,166152,46437,211938,24905,75,2802,22721,10804
5/5/2020,8613,167007,49400,213013,26025,82,2950,23216,10806
5/6/2020,8959,168162,52987,214457,27634,99,3145,23918,10810
5/7/2020,9456,169430,56351,215858,29616,101,3526,24623,10822
5/8/2020,10051,170588,59695,217185,31522,102,3912,25265,10840
5/9/2020,10495,171324,62808,218268,33460,110,4151,25921,10874
5/10/2020,11063,171879,67161,219070,35022,110,4399,26322,10909
5/11/2020,11613,172576,70768,219814,36327,134,4641,26670,10936
5/12/2020,12272,173171,74292,221216,38324,217,4787,27272,10962
5/13/2020,12930,174098,78055,222104,40186,250,4971,27909,10991
5/14/2020,13610,174478,81997,223096,42595,249,5162,28582,11018
5/15/2020,14216,175233,85784,223885,45032,267,5450,29207,11037
5/16/2020,14939,175752,90648,224760,47144,291,5621,29677,11050
5/17/2020,15574,176369,95698,225435,49219,295,5959,30143,11065
5/18/2020,16295,176551,100328,225886,51633,375,6175,30377,11078
5/19/2020,16935,177778,106475,226699,54346,402,6401,30799,11110
5/20/2020,17687,178473,112028,227364,56594,427,6677,31523,11122
5/21/2020,18330,179021,118226,228006,59567,457,7016,32172,11142
5/22/2020,19131,179710,124794,228658,62527,516,7261,32809,11165
5/23/2020,20177,179986,131423,229327,65856,584,7526,33188,11190
5/24/2020,21175,180328,138536,229858,68620,603,7839,33459,11206
5/25/2020,21981,180600,144950,230158,71105,682,8068,33843,11225
5/26/2020,23003,181200,150793,230555,74560,772,8344,34440,11265
5/27/2020,24104,181524,158086,231139,78023,886,8733,35088,11344
5/28/2020,24141,182196,165386,231732,81400,1042,8915,35727,11402
5/29/2020,25406,182922,173491,232248,84627,1212,9302,36476,11441
5/30/2020,26734,183189,181827,232664,87512,1401,9855,37113,11468
5/31/2020,27219,183410,190609,232997,90664,1572,10162,37542,11503
