Date,Colombia,Germany,India,Italy,Mexico,Nepal,Nigeria,Sweden,South Korea
1/22/2020,0,0,0,0,0,0,0,0,0
1/23/2020,0,0,0,0,0,0,0,0,0
1/24/2020,0,0,0,0,0,0,0,0,0
1/25/2020,0,0,0,0,0,0,0,0,0
1/26/2020,0,0,0,0,0,0,0,0,0
1/27/2020,0,0,0,0,0,0,0,0,0
1/28/2020,0,0,0,0,0,0,0,0,0
1/29/2020,0,0,0,0,0,0,0,0,0
1/30/2020,0,0,0,0,0,0,0,0,0
1/31/2020,0,0,0,0,0,0,0,0,0
2/1/2020,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0,0,0
2/4/2020,0,0,0,0,0,0,0,0,0
2/5/2020,0,0,0,0,0,0,0,0,0
2/6/2020,0,0,0,0,0,0,0,0,0
2/7/2020,0,0,0,0,0,0,0,0,0
2/8/2020,0,0,0,0,0,0,0,0,0
2/9/2020,0,0,0,0,0,0,0,0,0
2/10/2020,0,0,0,0,0,0,0,0,0
2/11/2020,0,0,0,0,0,0,0,0,0
2/12/2020,0,0,0,0,0,0,0,0,0
2/13/2020,0,0,0,0,0,0,0,0,0
2/14/2020,0,0,0,0,0,0,0,0,0
2/15/2020,0,0,0,0,0,0,0,0,0
2/16/2020,0,0,0,0,0,0,0,0,0
2/17/2020,0,0,0,0,0,0,0,0,0
2/18/2020,0,0,0,0,0,0,0,0,0
2/19/2020,0,0,0,0,0,0,0,0,0
2/20/2020,0,0,0,0,0,0,0,0,1
2/21/2020,0,0,0,1,0,0,0,0,2
2/22/2020,0,0,0,2,0,0,0,0,2
2/23/2020,0,0,0,3,0,0,0,0,6
2/24/2020,0,0,0,7,0,0,0,0,8
2/25/2020,0,0,0,10,0,0,0,0,10
2/26/2020,0,0,0,12,0,0,0,0,12
2/27/2020,0,0,0,17,0,0,0,0,13
2/28/2020,0,0,0,21,0,0,0,0,13
2/29/2020,0,0,0,29,0,0,0,0,16
3/1/2020,0,0,0,34,0,0,0,0,17
3/2/2020,0,0,0,52,0,0,0,0,28
3/3/2020,0,0,0,79,0,0,0,0,28
3/4/2020,0,0,0,107,0,0,0,0,35
3/5/2020,0,0,0,148,0,0,0,0,35
3/6/2020,0,0,0,197,0,0,0,0,42
3/7/2020,0,0,0,233,0,0,0,0,44
3/8/2020,0,0,0,366,0,0,0,0,50
3/9/2020,0,2,0,463,0,0,0,0,53
3/10/2020,0,2,0,631,0,0,0,0,54
3/11/2020,0,3,1,827,0,0,0,1,60
3/12/2020,0,3,1,1016,0,0,0,1,66
3/13/2020,0,7,2,1266,0,0,0,1,66
3/14/2020,0,9,2,1441,0,0,0,2,72
3/15/2020,0,11,2,1809,0,0,0,3,75
3/16/2020,0,17,2,2158,0,0,0,6,75
3/17/2020,0,24,3,2503,0,0,0,7,81
3/18/2020,0,28,3,2978,0,0,0,10,84
3/19/2020,0,44,4,3405,1,0,0,11,91
