0,CountryName,Date,ConfirmedCases,ConfirmedDeaths,StringencyIndex
5502,Colombia,1/1/2020,0,0,0
5503,Colombia,1/2/2020,0,0,0
5504,Colombia,1/3/2020,0,0,0
5505,Colombia,1/4/2020,0,0,0
5506,Colombia,1/5/2020,0,0,0
5507,Colombia,1/6/2020,0,0,0
5508,Colombia,1/7/2020,0,0,0
5509,Colombia,1/8/2020,0,0,0
5510,Colombia,1/9/2020,0,0,0
5511,Colombia,1/10/2020,0,0,0
5512,Colombia,1/11/2020,0,0,0
5513,Colombia,1/12/2020,0,0,0
5514,Colombia,1/13/2020,0,0,0
5515,Colombia,1/14/2020,0,0,0
5516,Colombia,1/15/2020,0,0,0
5517,Colombia,1/16/2020,0,0,0
5518,Colombia,1/17/2020,0,0,0
5519,Colombia,1/18/2020,0,0,0
5520,Colombia,1/19/2020,0,0,0
5521,Colombia,1/20/2020,0,0,0
5522,Colombia,1/21/2020,0,0,8.33
5523,Colombia,1/22/2020,0,0,8.33
5524,Colombia,1/23/2020,0,0,8.33
5525,Colombia,1/24/2020,0,0,8.33
5526,Colombia,1/25/2020,0,0,8.33
5527,Colombia,1/26/2020,0,0,8.33
5528,Colombia,1/27/2020,0,0,8.33
5529,Colombia,1/28/2020,0,0,8.33
5530,Colombia,1/29/2020,0,0,8.33
5531,Colombia,1/30/2020,0,0,8.33
5532,Colombia,1/31/2020,0,0,8.33
5533,Colombia,2/1/2020,0,0,8.33
5534,Colombia,2/2/2020,0,0,8.33
5535,Colombia,2/3/2020,0,0,8.33
5536,Colombia,2/4/2020,0,0,8.33
5537,Colombia,2/5/2020,0,0,8.33
5538,Colombia,2/6/2020,0,0,8.33
5539,Colombia,2/7/2020,0,0,8.33
5540,Colombia,2/8/2020,0,0,8.33
5541,Colombia,2/9/2020,0,0,8.33
5542,Colombia,2/10/2020,0,0,8.33
5543,Colombia,2/11/2020,0,0,8.33
5544,Colombia,2/12/2020,0,0,8.33
5545,Colombia,2/13/2020,0,0,8.33
5546,Colombia,2/14/2020,0,0,8.33
5547,Colombia,2/15/2020,0,0,8.33
5548,Colombia,2/16/2020,0,0,8.33
5549,Colombia,2/17/2020,0,0,8.33
5550,Colombia,2/18/2020,0,0,8.33
5551,Colombia,2/19/2020,0,0,8.33
5552,Colombia,2/20/2020,0,0,8.33
5553,Colombia,2/21/2020,0,0,8.33
5554,Colombia,2/22/2020,0,0,8.33
5555,Colombia,2/23/2020,0,0,8.33
5556,Colombia,2/24/2020,0,0,12.04
5557,Colombia,2/25/2020,0,0,12.04
5558,Colombia,2/26/2020,0,0,12.04
5559,Colombia,2/27/2020,0,0,12.04
5560,Colombia,2/28/2020,0,0,12.04
